title,year,duration,rating,votes,genre
Donnie Darko,2001,113,8,728383,Drama
Little Miss Sunshine,2006,101,7.8,431988,Comedy
The Man from Earth,2007,87,7.9,170744,Drama
Deadpool,2016,108,8,882037,Action
The Help,2011,146,8,419566,Drama
Moonrise Kingdom,2012,94,7.8,311669,Comedy
Lei,2013,126,8,523975,Drama
Guardians of the Galaxy,2014,121,8,1023350,Action
Wheels,2014,115,8.8,17814,Drama
Gone Girl,2014,149,8.1,833485,Drama
Short Term 12,2013,96,8,79731,Drama
Star Wars Episode 7,2015,138,7.9,845102,Action
Whiplash,2014,106,8.5,690732,Drama
Thor: Ragnarok,2017,130,7.9,564511,Action
Rogue One: A Star Wars Story,2016,133,7.8,538641,Action
Manchester by the Sea,2016,137,7.8,238464,Drama
Avengers: Infinity War,2018,149,8.4,796486,Action
An Hour to Kill,2018,96,8.2,2154,Action
Togo,2019,113,8,30833,Adventure